brand,source_video,out_file,codec,dur_s,status
NOMAD-1215,NOMAD-1215 - lil happy lil sad - Magical/lil happy lil sad - Magical (With Vocals).mov,NOMAD-1215 - lil happy lil sad - Magical.flac,flac,213.7,ok
NOMAD-1216,NOMAD-1216 - Wolfgang Wallace - Comatose/Wolfgang Wallace - Comatose (With Vocals).mov,NOMAD-1216 - Wolfgang Wallace - Comatose.flac,flac,209.0,ok
NOMAD-1217,NOMAD-1217 - Bruce Springsteen - Streets of Minneapolis/Bruce Springsteen - Streets of Minneapolis (With Vocals).mov,NOMAD-1217 - Bruce Springsteen - Streets of Minneapolis.flac,flac,277.5,ok
NOMAD-1218,NOMAD-1218 - Mark Mallman - Minneapolis/Mark Mallman - Minneapolis (With Vocals).mov,NOMAD-1218 - Mark Mallman - Minneapolis.flac,flac,199.6,ok
NOMAD-1219,NOMAD-1219 - Bug Hunter - The Hook/Bug Hunter - The Hook (With Vocals).mov,NOMAD-1219 - Bug Hunter - The Hook.flac,flac,219.6,ok
NOMAD-1220,NOMAD-1220 - Anakelly from Timeless - Under The Milky Way/Anakelly from Timeless - Under The Milky Way (With Vocals).mov,NOMAD-1220 - Anakelly from Timeless - Under The Milky Way.flac,flac,275.5,ok
NOMAD-1221,NOMAD-1221 - China Styles - War Cry/China Styles - War Cry (With Vocals).mov,NOMAD-1221 - China Styles - War Cry.flac,flac,236.7,ok
NOMAD-1222,NOMAD-1222 - Willie Nelson - Valentine/Willie Nelson - Valentine (With Vocals).mov,NOMAD-1222 - Willie Nelson - Valentine.flac,flac,218.6,ok
NOMAD-1223,NOMAD-1223 - Lissom - Savagery/Lissom - Savagery (With Vocals).mov,NOMAD-1223 - Lissom - Savagery.flac,flac,299.4,ok
NOMAD-1224,NOMAD-1224 - Linda Feller - Keiner lügt so schlecht wie Du/Linda Feller - Keiner lügt so schlecht wie Du (With Vocals).mov,NOMAD-1224 - Linda Feller - Keiner lügt so schlecht wie Du.flac,flac,188.8,ok
NOMAD-1225,NOMAD-1225 - HE PRIMALS - Sinister/HE PRIMALS - Sinister (With Vocals).mov,NOMAD-1225 - HE PRIMALS - Sinister.flac,flac,394.7,ok
NOMAD-1226,NOMAD-1226 - Elizabeth Moen - Songbird/Elizabeth Moen - Songbird (With Vocals).mov,NOMAD-1226 - Elizabeth Moen - Songbird.flac,flac,221.5,ok
NOMAD-1227,"NOMAD-1227 - Crosby, Stills, Nash & Young - Almost Cut My Hair/Crosby, Stills, Nash & Young - Almost Cut My Hair (With Vocals).mov","NOMAD-1227 - Crosby, Stills, Nash & Young - Almost Cut My Hair.flac",flac,274.6,ok
NOMAD-1228,NOMAD-1228 - Nether Hour - The Hit/Nether Hour - The Hit (With Vocals).mov,NOMAD-1228 - Nether Hour - The Hit.flac,flac,162.9,ok
NOMAD-1229,NOMAD-1229 - Doc Watson - Deep River Blues/Doc Watson - Deep River Blues (With Vocals).mov,NOMAD-1229 - Doc Watson - Deep River Blues.flac,flac,193.0,ok
NOMAD-1230,"NOMAD-1230 - Kelly Price ft. Ronald Isley, R. Kelly - Friend Of Mine (Remix)/Kelly Price ft. Ronald Isley, R. Kelly - Friend Of Mine (Remix) (With Vocals).mov","NOMAD-1230 - Kelly Price ft. Ronald Isley, R. Kelly - Friend Of Mine (Remix).flac",flac,379.2,ok
NOMAD-1231,NOMAD-1231 - The Mountain Goats - Going to Maine/The Mountain Goats - Going to Maine (With Vocals).mov,NOMAD-1231 - The Mountain Goats - Going to Maine.flac,flac,101.7,ok
NOMAD-1232,NOMAD-1232 - Childish Gambino - Saturday/Childish Gambino - Saturday (With Vocals).mov,NOMAD-1232 - Childish Gambino - Saturday.flac,flac,204.4,ok
NOMAD-1233,NOMAD-1233 - SteelDrivers - Where Rainbows Never Die/SteelDrivers - Where Rainbows Never Die (With Vocals).mov,NOMAD-1233 - SteelDrivers - Where Rainbows Never Die.flac,flac,230.4,ok
